digit_count,Year,month,mean_monthly_temp,mean_monthly_rainfall,littoral_mean_monthly_ndvi,littoral_vegetation_area,mean_monthly_ndbi,Bare_soil_area,mean_monthly_ndwi,water_area,hyacinth_mean_monthly_ndvi,hyacinth_area
304,2009,5,0,5.53,0.07,454.7358,-0.14,7.2765,0.03,0.0027,-0.02,8.0235
305,2009,6,27,1.77,0.3,164.3742,-0.11,13.2282,0,0,0,0
306,2009,7,30,1.54,0.23,177.7842,-0.06,41.4036,0,0,0,0
307,2009,8,0,3.17,0,0,0,0,0,0,0,0
308,2009,9,24,5.83,0.15,744.2514,-0.04,277.8948,0.03,1.8657,-0.03,5.3694
309,2009,10,9,2.99,-0.05,334.8117,0.02,424.6731,0.14,62.3745,-0.17,1.1664
310,2009,11,31,4.24,0.26,768.9393,-0.08,93.7026,0.05,0.1485,-0.04,9.8622
311,2009,12,6,5.82,0.16,705.4758,-0.11,29.3355,-0.01,6.1191,0.01,9.4662
312,2010,1,34,2.35,0.25,825.9417,-0.07,90.7839,0.05,0,-0.04,7.452
313,2010,2,41,5.81,0.22,743.4612,-0.03,250.2099,0.05,0,-0.03,9.1854
314,2010,3,16,6.52,0.14,705.3876,-0.08,45.0036,0.04,17.0838,-0.04,9.6633
315,2010,4,22,7.08,0.29,903.7872,-0.11,10.9647,0.02,0,0,12.8052
316,2010,5,29,7.98,0.32,845.7003,-0.14,4.7052,0.03,0,-0.03,11.7405
317,2010,6,32,4.05,0.29,803.1042,-0.11,32.5278,0.04,0.4482,-0.02,12.7737
318,2010,7,21,2.08,0.07,580.5864,-0.05,178.5222,0.07,22.6998,-0.07,6.2676
319,2010,8,13,3.73,0.07,520.7292,-0.02,210.3147,0.07,24.0642,-0.07,3.3138
320,2010,9,20,4.74,0.2,196.9758,-0.06,33.1479,0,0,0,0
321,2010,10,21,4.43,0.19,800.5284,-0.08,77.6583,0.03,7.2252,-0.03,8.8299
322,2010,11,31,2.71,0.27,898.875,-0.08,141.2865,0.04,0,-0.02,16.3251
323,2010,12,34,3.45,0.27,806.0886,-0.06,149.2317,0.04,0,-0.03,15.5835
324,2011,1,30,1.58,0.19,709.4043,-0.03,244.3464,0.07,18.0126,-0.08,8.9235
325,2011,2,-10,1.93,-0.03,345.2517,-0.05,278.7093,0.12,49.4865,-0.12,4.8105
326,2011,3,15,3.96,0.16,100.6902,-0.04,24.2559,0,0,0,0
327,2011,4,7,4.27,0.19,930.2724,-0.07,98.4411,0.02,0.729,-0.01,9.954
328,2011,5,-58,6.05,0.05,519.5286,-0.2,2.3202,0.17,67.4847,-0.21,2.5155
329,2011,6,26,4,0.19,681.2289,-0.1,59.2029,0.06,0.3276,-0.03,9.6732
330,2011,7,32,2.63,0.23,915.1488,-0.06,198.0378,0.05,0.8766,-0.03,9.882
331,2011,8,7,6.52,0,432.9099,-0.03,204.2775,0.11,42.9084,-0.13,3.9816
332,2011,9,31,4.62,0.3,133.461,-0.1,8.9055,0,0,0,0
333,2011,10,-23,5.49,0.17,127.1133,-0.16,0.0486,0,0,0,0
334,2011,11,1,8.31,0.09,582.5727,-0.11,32.5125,0.02,7.8012,-0.02,9.3114
335,2011,12,21,3.03,0.15,645.7482,-0.09,88.7958,0.04,0.5202,-0.02,12.2931
336,2012,1,34,0.56,0.28,900.207,-0.08,71.2467,0.03,0,-0.01,11.7018
337,2012,2,35,1.38,0.17,919.5138,0,592.2189,0.06,0.027,-0.06,6.399
338,2012,3,33,2.79,0.15,696.0123,0.03,601.8597,0.04,0.0117,-0.04,5.6475
339,2012,4,17,10.87,0.13,614.5623,-0.01,347.7978,0.03,0.1908,-0.02,8.0865
340,2012,5,32,6.85,0.32,906.6582,-0.13,19.0593,0.04,0,-0.04,12.3822
341,2012,6,27,5.9,0.3,898.6437,-0.14,9.1917,0,0,0.01,18.6795
